titulo,formato,precio,precio_unitario,categoria,fecha_extraccion
Edulcorante líquido sacarina Hacendado,Bote 150 ml,0.85,5.67,Azúcar caramelos y chocolate - Azúcar y edulcorante,2025-06-07
Edulcorante en pastillas sacarina Hacendado,Bote 850 pastillas (52 g),1.15,22.12,Azúcar caramelos y chocolate - Azúcar y edulcorante,2025-06-07
Edulcorante en sobres sacarina Hacendado,Caja 60 sobres (60 g),1.10,18.33,Azúcar caramelos y chocolate - Azúcar y edulcorante,2025-06-07
Sirope de agave Hacendado,Bote 350 g,2.60,7.43,Azúcar caramelos y chocolate - Azúcar y edulcorante,2025-06-07
Edulcorante líquido stevia Hacendado,Bote 150 ml,2.05,13.67,Azúcar caramelos y chocolate - Azúcar y edulcorante,2025-06-07
Edulcorante granulado stevia Hacendado,Bote 200 g,3.45,17.25,Azúcar caramelos y chocolate - Azúcar y edulcorante,2025-06-07
Edulcorante en pastillas stevia Hacendado,Bote 175 pastillas (9 g),1.85,205.56,Azúcar caramelos y chocolate - Azúcar y edulcorante,2025-06-07
Edulcorante en sobres stevia Hacendado,Caja 54 sobres (54 g),2.10,38.89,Azúcar caramelos y chocolate - Azúcar y edulcorante,2025-06-07
Edulcorante Eritritol y Sucralosa Hacendado,Bote 200 g,3.20,16.00,Azúcar caramelos y chocolate - Azúcar y edulcorante,2025-06-07
Chicles menta fuerte gragea Hacendado,Paquete 32 chicles (45 g),1.00,22.22,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Chicles menta fuerte gragea Hacendado,Bote 70 chicles (100 g),1.95,19.50,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Chicles hierbabuena gragea Hacendado,Paquete 32 chicles (45 g),1.00,22.22,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Chicles hierbabuena gragea Hacendado,Bote 70 chicles (100 g),1.95,19.50,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Chicles hierbabuena lámina Hacendado,Paquete 12 chicles (31 g),1.00,32.26,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Chicles menta suave gragea Hacendado,Paquete 32 chicles (45 g),1.00,22.22,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Chicles fresa gragea Hacendado,Paquete 32 chicles (45 g),1.00,22.22,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Chicles fresa gragea Hacendado,Bote 70 chicles (100 g),1.95,19.50,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Chicles original sabor frutas gragea Hacendado,Paquete 32 chicles (45 g),1.00,22.22,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Chicles sandía lámina Hacendado,Paquete 12 chicles (31 g),1.00,32.26,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Chicles XXL gragea Hacendado,Paquete 25 chicles (100 g),1.80,18.00,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Chicles jengibre gragea Hacendado,Paquete 32 chicles (45 g),1.00,22.22,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Chicles eucalipto gragea Hacendado,Paquete 32 chicles (45 g),1.00,22.22,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
"Chicles Melones ácidos Hacendado sabor melón, fresa, melocotón y frambuesa",Paquete 100 g,1.15,11.50,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Caramelos nata Hacendado 0% azúcares,Paquete 90 g,1.15,12.78,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Caramelos café Hacendado 0% azúcares,Paquete 90 g,1.15,12.78,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Caramelos sabor eucalipto y mentol Hacendado 0% azúcares,Paquete 90 g,1.00,11.11,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Caramelos eucaliptus mentol Respiral Halls,Paquete 150 g,1.95,13.00,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Caramelos cítricos mix Halls,4 paquetes x 32 g,2.95,92.19,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Caramelos limón mentol Respiral Halls,Paquete 150 g,1.95,13.00,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Caramelos original Halls,4 paquetes x 32 g,2.95,92.19,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Caramelos blandos Fruits Hacendado,Paquete 300 g,1.60,5.33,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Caramelos miel sabor limón Pifarré,Paquete 125 g,1.15,9.20,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Caramelos regaliz mentol Respiral Halls,Paquete 150 g,1.95,13.00,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Caramelos jengibre y própolis Hacendado 0% azúcares,Paquete 90 g,1.35,15.00,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Caramelos Mix Fruits Hacendado 0% azúcares,Paquete 100 g,1.20,12.00,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Caramelos con palo Cherry Stick Hacendado con chicle sabor cereza,Paquete 7 ud. (105 g),1.45,1.97,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Caramelos sabor eucalipto y mentol Hacendado 0% azúcares,3 paquetes x 31 g,1.50,48.39,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Caramelos sabor lima Hacendado 0% azúcares,3 paquetes x 31 g,1.50,48.39,Azúcar caramelos y chocolate - Chicles y caramelos,2025-06-07
Chocolate negro 85% cacao Hacendado,Tableta 100 g,1.95,19.50,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate negro fundir Hacendado,Tableta 200 g,2.40,12.00,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Porciones de Chocolate negro 72% cacao extrafino Hacendado,Paquete 200 g,3.65,18.25,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate 70% negro Valor 0% azúcares añadidos,Tableta 100 g,2.80,28.00,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate negro 72% de cacao Hacendado,Tableta 100 g,1.85,18.50,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate negro 55% cacao Hacendado con almendras,Tableta 200 g,2.60,13.00,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate puro Valor,Tableta 300 g,4.35,14.50,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate puro Valor con almendras enteras,Tableta 250 g,4.95,19.80,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate negro relleno de mousse Hacendado,Tableta 140 g,2.35,16.79,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolatinas de chocolate negro Royal Mints 49% rellenas de crema sabor a menta,Caja 200 g,2.40,12.00,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Gotas de chocolate negro para fundir Hacendado,Paquete 250 g,2.75,11.00,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate negro 72% de cacao Hacendado con almendras enteras,Tableta 200 g,3.05,15.25,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Porciones de Chocolate negro 85% cacao extrafino Hacendado,Paquete 200 g,3.80,19.00,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate negro 72% cacao Hacendado con trozos de naranja,Tableta 100 g,1.95,19.50,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate negro 85% cacao extrafino y edulcorante Hacendado 0% azúcares añadidos,Tableta 100 g,2.35,23.50,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate negro 70% cacao fundir Hacendado 0% azúcares añadidos,Tableta 200 g,3.40,17.00,Azúcar caramelos y chocolate - Chocolate,2025-06-07
99% cacao negro Hacendado,Tableta 100 g,2.70,27.00,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate negro 55% cacao Hacendado,Tableta 150 g,1.75,11.67,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate negro 72% de cacao Hacendado con almendras enteras,Tableta 150 g,3.05,20.33,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate con leche classic Hacendado,Tableta 150 g,1.60,10.67,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate con leche extrafino Nestlé,Tableta 125 g,1.85,14.80,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate con leche Milka,Tableta 150 g,2.15,14.33,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate extrafino con leche Hacendado almendras enteras,Tableta 200 g,2.00,10.00,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate con leche Valor almendras enteras,Tableta 250 g,4.95,19.80,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate con leche Hacendado avellanas troceadas,Tableta 150 g,1.65,11.00,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate extrafino con leche Hacendado 0% azúcares añadidos,Tableta 100 g,1.35,13.50,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate con leche Valor almendras enteras,Tableta 150 g,4.00,26.67,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate con leche Milka galleta,Tableta 300 g,3.75,12.50,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate con leche Hacendado almendras troceadas,Tableta 150 g,1.65,11.00,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate con leche Fussion Hacendado relleno crema de fresa,Tableta 110 g,1.35,12.27,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Fideos de chocolate Hacendado,Paquete 100 g,1.75,17.50,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate con leche fundir Hacendado,Tableta 200 g,2.40,12.00,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate con leche Fussion Hacendado relleno de galleta caramelizada,Tableta 110 g,1.35,12.27,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate blanco Hacendado,Tableta 100 g,1.15,11.50,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate blanco fundir Hacendado,Tableta 200 g,2.25,11.25,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate blanco Fussion Hacendado relleno de crema de galleta y cacao,Tableta 110 g,1.35,12.27,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Chocolate blanco Fussion Hacendado relleno de crema de pistacho y masa filo tostada,Tableta 105 g,1.95,18.57,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Barritas de barquillo Huesitos bañadas de chocolate con leche,Paquete 10 ud. (200 g),2.60,1.30,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Barritas de chocolate con leche Hacendado rellenas de leche,Paquete 16 ud. (200 g),2.20,0.69,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Barritas de barquillo Kit-Kat bañadas de chocolate con leche,"Paquete 5 ud. (207,5 g)",3.75,150.00,Azúcar caramelos y chocolate - Chocolate,2025-06-07
"Barritas de barquillo Meivel rellenas de turrón Viena, cacahuete y sabor a limón",Paquete 6 ud. (180 g),2.55,2.36,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Barritas de barquillo Tokke original,Paquete 3 ud. (141 g),1.45,3.43,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Disquitos Pintarolas de chocolate con leche coloreados,Paquete 200 g,2.15,10.75,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Cacahuetes Hacendado chocolate negro,Paquete 250 g,2.45,9.80,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Cacahuetes Hacendado chocolate con leche,Paquete 250 g,2.45,9.80,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Barritas de galleta y caramelo Hacendado bañadas de chocolate con leche,Paquete 5 ud. (200 g),1.85,1.85,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Cacahuetes Chocoiris Hacendado bañados de chocolate con leche coloreados,Paquete 180 g,2.00,11.11,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Huevos sorpresa de chocolate Hacendado dibujo,3 ud. x 20 g,1.90,31.67,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Huevos sorpresa de chocolate Hacendado dibujo,3 ud. x 20 g,1.90,31.67,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Huevo sorpresa de chocolate Hacendado,50 g,1.65,33.00,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Huevo sorpresa disquitos con crema de avellana,25 g,1.25,50.00,Azúcar caramelos y chocolate - Chocolate,2025-06-07
"Bolas de cereal bañadas Hacendado de chocolate negro, con leche y blanco",Paquete 200 g,2.65,13.25,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Barritas de barquillo Hacendado con relleno de avellana cubiertas de chocolate con leche,Paquete 6 ud. (123 g),1.80,2.44,Azúcar caramelos y chocolate - Chocolate,2025-06-07
"Barritas Peanuts Hacendado bañadas de chocolate con leche y rellenas con caramelo, cacahuetes tostados y crema azucarada",Paquete 6 ud. (216 g),1.95,1.50,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Mix mini barritas Hacendado de chocolate,Paquete 19 ud. (395 g),3.50,0.47,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Barritas crujientes Hacendado recubiertas de chocolate con leche,Paquete 135 g,1.95,14.44,Azúcar caramelos y chocolate - Chocolate,2025-06-07
"Surtido bombones Senzza de chocolate con avellana, fondant, praliné y almendra",Paquete 470 g,5.50,11.70,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Surtido bombones Caja Roja Nestlé,Caja 21 ud. (198 g),6.95,1.67,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Surtido bombones Senzza de chocolate negro 70%,Paquete 16 ud. (180 g),2.90,1.01,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Bombones delicias de avellana Delizze Hacendado,Caja 16 ud. (216 g),3.90,1.13,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Crema al cacao con avellanas Hacendado,Bote 500 g,1.95,3.90,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Crema de avellanas y cacao Hacendado,Bote 400 g,2.40,6.00,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Crema al cacao con avellanas Nutella,Tarro 350 g,3.95,11.29,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Crema al cacao con avellanas Nocilla original,Tarro 360 g,3.85,10.69,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Dulce de leche Chimbote,Tarro 430 g,2.71,6.30,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Crema al cacao con avellanas Hacendado de 2 sabores,Bote 500 g,1.95,3.90,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Crema al cacao y leche con avellanas Nocilla,Tarro 360 g,3.85,10.69,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Crema de cacahuete 100% Hacendado,Tarro 500 g,2.85,5.70,Azúcar caramelos y chocolate - Chocolate,2025-06-07
Golosinas Xuxes Top Ten Hacendado,Paquete 20 ud. (135 g),1.25,0.46,Azúcar caramelos y chocolate - Golosinas,2025-06-07
Golosinas Rega Red Hacendado sabor fresa,Paquete 100 g,1.00,10.00,Azúcar caramelos y chocolate - Golosinas,2025-06-07
Golosinas Moras Hacendado,Paquete 200 g,1.10,5.50,Azúcar caramelos y chocolate - Golosinas,2025-06-07
Golosinas Nubi Mallow Hacendado,Paquete 150 g,1.00,6.67,Azúcar caramelos y chocolate - Golosinas,2025-06-07
Caramelo Pikotas masticable Dulciora,Paquete 100 g,1.45,14.50,Azúcar caramelos y chocolate - Golosinas,2025-06-07
Golosinas tubos Hacendado sabor fresa y nata,Caja 320 g,1.75,5.47,Azúcar caramelos y chocolate - Golosinas,2025-06-07
Golosinas Boca Fruit Hacendado,Paquete 200 g,1.20,6.00,Azúcar caramelos y chocolate - Golosinas,2025-06-07
Grageas de regaliz Hacendado,Paquete 150 g,1.45,9.67,Azúcar caramelos y chocolate - Golosinas,2025-06-07
Surtido de caramelos Diver Xuxes Hacendado,Paquete 300 g,2.35,7.83,Azúcar caramelos y chocolate - Golosinas,2025-06-07
Golosinas Rega Relli Hacendado rellena con zumo de fruta,Paquete 150 g,1.00,6.67,Azúcar caramelos y chocolate - Golosinas,2025-06-07
Golosinas Rega Black Hacendado,Paquete 100 g,1.00,10.00,Azúcar caramelos y chocolate - Golosinas,2025-06-07
Golosinas Dentaduras Hacendado,Paquete 100 g,1.15,11.50,Azúcar caramelos y chocolate - Golosinas,2025-06-07
Golosinas Mix Hacendado,Paquete 300 g,1.60,5.33,Azúcar caramelos y chocolate - Golosinas,2025-06-07
Golosinas Fresi Pink Mix Hacendado,Paquete 300 g,1.60,5.33,Azúcar caramelos y chocolate - Golosinas,2025-06-07
Golosinas Mix azúcar Hacendado,Paquete 300 g,1.60,5.33,Azúcar caramelos y chocolate - Golosinas,2025-06-07
"Golosinas Rega Red Mix Hacendado sabor fresa, nata y tutti frutti",Paquete 300 g,1.60,5.33,Azúcar caramelos y chocolate - Golosinas,2025-06-07
Golosinas Mix con pica Hacendado,Paquete 300 g,1.60,5.33,Azúcar caramelos y chocolate - Golosinas,2025-06-07
Cono de golosinas celebración Hacendado,Paquete 1 ud.,1.25,No disponible,Azúcar caramelos y chocolate - Golosinas,2025-06-07
Golosinas Mini Mix con pica Hacendado,Paquete 300 g,1.60,5.33,Azúcar caramelos y chocolate - Golosinas,2025-06-07
Golosinas tubos rellenos Hacendado sabor nata y fresa,Caja 280 g,1.75,6.25,Azúcar caramelos y chocolate - Golosinas,2025-06-07
Golosinas tubos pica Hacendado sabor fresa y nata,Caja 280 g,1.75,6.25,Azúcar caramelos y chocolate - Golosinas,2025-06-07
Golosinas Tropical Jelly Hacendado,Paquete 300 g,1.60,5.33,Azúcar caramelos y chocolate - Golosinas,2025-06-07
Mermelada de fresa Hacendado,Tarro 400 g,1.55,3.88,Azúcar caramelos y chocolate - Mermelada y miel,2025-06-07
Mermelada de fresa monodosis Hacendado,10 ud. x 25 g,1.50,6.00,Azúcar caramelos y chocolate - Mermelada y miel,2025-06-07
Mermelada de tomate Hacendado,Tarro 440 g,1.95,4.43,Azúcar caramelos y chocolate - Mermelada y miel,2025-06-07
Mermelada de arándanos Hacendado,Tarro 330 g,1.85,5.61,Azúcar caramelos y chocolate - Mermelada y miel,2025-06-07
Mermelada de melocotón Hacendado,Tarro 440 g,1.45,3.30,Azúcar caramelos y chocolate - Mermelada y miel,2025-06-07
Mermelada de melocotón monodosis Hacendado,10 ud. x 25 g,1.50,6.00,Azúcar caramelos y chocolate - Mermelada y miel,2025-06-07
Mermelada de naranja amarga Hacendado,Tarro 440 g,1.35,3.07,Azúcar caramelos y chocolate - Mermelada y miel,2025-06-07
Mermelada de albaricoque Hacendado,Tarro 440 g,1.60,3.64,Azúcar caramelos y chocolate - Mermelada y miel,2025-06-07
Mermelada de higo Hacendado,Tarro 340 g,1.95,5.74,Azúcar caramelos y chocolate - Mermelada y miel,2025-06-07
Mermelada de ciruela y kiwi Hacendado,Tarro 340 g,1.70,5.00,Azúcar caramelos y chocolate - Mermelada y miel,2025-06-07
Mermelada de frambuesa Hacendado,Tarro 340 g,2.45,7.21,Azúcar caramelos y chocolate - Mermelada y miel,2025-06-07
Miel de flores Hacendado,Tarro 1 kg,4.60,4.60,Azúcar caramelos y chocolate - Mermelada y miel,2025-06-07
Miel de flores Hacendado,Bote 500 g,3.05,6.10,Azúcar caramelos y chocolate - Mermelada y miel,2025-06-07
Miel de naranjo Hacendado,Bote 500 g,4.05,8.10,Azúcar caramelos y chocolate - Mermelada y miel,2025-06-07
Cebolla caramelizada Hacendado,Tarro 190 g,1.70,8.95,Azúcar caramelos y chocolate - Mermelada y miel,2025-06-07
Confitura de fresa Hacendado 0% azúcares añadidos,Tarro 380 g,1.60,4.21,Azúcar caramelos y chocolate - Mermelada y miel,2025-06-07
Confitura de melocotón Hacendado 0% azúcares añadidos,Tarro 380 g,1.60,4.21,Azúcar caramelos y chocolate - Mermelada y miel,2025-06-07
Papilla verduritas con merluza Hero Solo +6 meses,Tarrito 235 g,1.75,7.45,Bebé - Alimentación infantil,2025-06-07
Papilla verduritas con pollo y ternera Hero Solo +6 meses,Tarrito 235 g,1.75,7.45,Bebé - Alimentación infantil,2025-06-07
Papilla arroz con pollo Hero Solo +6 meses,Tarrito 235 g,1.75,7.45,Bebé - Alimentación infantil,2025-06-07
Papilla verduritas con pollo Hero Solo buenas noches +6 meses,2 tarritos x 190 g,3.00,15.79,Bebé - Alimentación infantil,2025-06-07
Papilla verduritas con delicias de pavo Hero Solo natur +6 meses,Tarrito 235 g,1.75,7.45,Bebé - Alimentación infantil,2025-06-07
Papilla zanahorias baby con ternera Hero Solo +6 meses,Tarrito 235 g,1.75,7.45,Bebé - Alimentación infantil,2025-06-07
Papilla zanahorias con arroz en caldito de pollo Hero Solo +6 meses,Tarrito 235 g,1.75,7.45,Bebé - Alimentación infantil,2025-06-07
Papilla lentejas con verduritas Hero Solo recetas caseras +8 meses,2 tarritos x 190 g,3.00,15.79,Bebé - Alimentación infantil,2025-06-07
Papilla fresa y plátano Hacendado +8 meses,1 ud. (120 g),0.90,7.50,Bebé - Alimentación infantil,2025-06-07
Papilla fruta variada Hacendado +6 meses,1 ud. (120 g),0.90,7.50,Bebé - Alimentación infantil,2025-06-07
Papilla plátano y manzana Hacendado +6 meses,1 ud. (120 g),0.90,7.50,Bebé - Alimentación infantil,2025-06-07
Papilla fruta variada Hacendado +4 meses,4 tarritos x 130 g,2.75,21.15,Bebé - Alimentación infantil,2025-06-07
Papilla cuatro frutas con avena Hacendado +8 meses,4 tarritos x 130 g,2.75,21.15,Bebé - Alimentación infantil,2025-06-07
"Papilla plátano, mandarina y pera +4 meses Hacendado +4 meses",4 tarritos x 130 g,2.75,21.15,Bebé - Alimentación infantil,2025-06-07
Papilla pera y manzana Hacendado +4 meses,4 tarritos x 130 g,2.75,21.15,Bebé - Alimentación infantil,2025-06-07
"Papilla plátano, fresa, arándanos y avena Hacendado +8 meses",1 ud. (120 g),0.90,7.50,Bebé - Alimentación infantil,2025-06-07
Papilla tres frutas con yogur Hacendado +8 meses,4 tarritos x 130 g,2.75,21.15,Bebé - Alimentación infantil,2025-06-07
Papilla fruta variada con galleta Hacendado +6 meses,1 ud. (120 g),0.90,7.50,Bebé - Alimentación infantil,2025-06-07
Postre lácteo infantil de fresa y plátano Hacendado +8 meses,1 ud. (100 g),0.95,9.50,Bebé - Alimentación infantil,2025-06-07
Postre lácteo infantil de galleta Hacendado +8 meses,1 ud. (100 g),0.95,9.50,Bebé - Alimentación infantil,2025-06-07
Postre lácteo infantil de cereales y miel Hacendado +12 meses,1 ud. (100 g),0.95,9.50,Bebé - Alimentación infantil,2025-06-07
Preparado lácteo crecimiento Peques 3 Puleva,6 bricks x 1 L,12.00,12.00,Bebé - Alimentación infantil,2025-06-07
Preparado lácteo crecimiento Peques 3 Puleva,Brick 1 L,2.00,2.00,Bebé - Alimentación infantil,2025-06-07
Preparado lácteo con cereales crecimiento Peques 3 Puleva,6 bricks x 1 L,12.00,12.00,Bebé - Alimentación infantil,2025-06-07
Preparado lácteo con cereales crecimiento Peques 3 Puleva,Brick 1 L,2.00,2.00,Bebé - Alimentación infantil,2025-06-07
Preparado lácteo crecimiento Hacendado +1 año,6 bricks x 1 L,7.50,7.50,Bebé - Alimentación infantil,2025-06-07
Preparado lácteo crecimiento Hacendado +1 año,Brick 1 L,1.25,1.25,Bebé - Alimentación infantil,2025-06-07
Preparado lácteo cereales al cacao Peques 3 Puleva,3 mini bricks x 200 ml,2.00,10.00,Bebé - Alimentación infantil,2025-06-07
Preparado lácteo con cacao y cereales crecimiento Hacendado +1 año,6 mini bricks x 200 ml,2.20,11.00,Bebé - Alimentación infantil,2025-06-07
Preparado lácteo con cereales crecimiento Hacendado +1 año,6 bricks x 1 L,9.00,9.00,Bebé - Alimentación infantil,2025-06-07
Preparado lácteo con cereales crecimiento Hacendado +1 año,Brick 1 L,1.50,1.50,Bebé - Alimentación infantil,2025-06-07
Leche para lactantes en polvo 1 Nativa Nestlé,Bote 800 g,11.95,14.94,Bebé - Alimentación infantil,2025-06-07
Leche de continuación en polvo 2 Nativa Nestlé,Bote 800 g,11.95,14.94,Bebé - Alimentación infantil,2025-06-07
Leche para lactantes en polvo 1 Nidina Nestlé,Bote 800 g,14.95,18.69,Bebé - Alimentación infantil,2025-06-07
Leche de continuación en polvo 2 Nidina Nestlé,Bote 800 g,17.95,22.44,Bebé - Alimentación infantil,2025-06-07
Papilla 8 cereales con galleta María Nestlé +6 meses,Caja 725 g,5.45,7.52,Bebé - Alimentación infantil,2025-06-07
Papilla 8 cereales con miel Nestlé +6 meses,Caja 725 g,5.45,7.52,Bebé - Alimentación infantil,2025-06-07
Papilla 8 cereales Hero Solo +6 meses,Caja 410 g,3.50,8.54,Bebé - Alimentación infantil,2025-06-07
Papilla sin gluten crema de arroz Hero Solo +4 meses,Caja 220 g,2.65,12.05,Bebé - Alimentación infantil,2025-06-07
Biberón 150 ml tetina silicona flujo lento Deliplus +0 meses,1 ud.,3.30,No disponible,Bebé - Biberón y chupete,2025-06-07
Biberón 360 ml tetina silicona tres posiciones Deliplus +1 mes,1 ud.,3.80,No disponible,Bebé - Biberón y chupete,2025-06-07
Cepillo limpiabiberón y tetina Deliplus,Paquete 1 ud.,2.50,No disponible,Bebé - Biberón y chupete,2025-06-07
Limpiador bebé para biberones y tetinas Deliplus,Bote 500 ml,2.90,5.80,Bebé - Biberón y chupete,2025-06-07
Chupete silicona reversible Deliplus +0 a 6 meses,Paquete 1 ud.,2.50,No disponible,Bebé - Biberón y chupete,2025-06-07
Chupete silicona reversible Deliplus +6 a 18 meses luminiscente,Paquete 1 ud.,2.50,No disponible,Bebé - Biberón y chupete,2025-06-07
Chupete silicona reversible Deliplus +18 meses,Paquete 1 ud.,2.50,No disponible,Bebé - Biberón y chupete,2025-06-07
Gel corporal infantil Deliplus,Bote 600 ml,2.70,4.50,Bebé - Higiene y cuidado,2025-06-07
Champú infantil Deliplus,Bote 600 ml,2.95,4.92,Bebé - Higiene y cuidado,2025-06-07
Gel - champú bebé para pieles atópicas Deliplus,Bote 600 ml,3.70,6.17,Bebé - Higiene y cuidado,2025-06-07
Pomada del pañal sin perfume Deliplus,Tubo 100 ml,2.75,27.50,Bebé - Higiene y cuidado,2025-06-07
Loción corporal infantil hidratante Deliplus,Bote 600 ml,3.95,6.58,Bebé - Higiene y cuidado,2025-06-07
Bálsamo facial corporal infantil pieles atópicas Deliplus,Bote 200 ml,4.40,22.00,Bebé - Higiene y cuidado,2025-06-07
Agua de colonia bebé Nenuco,Botella 500 ml,2.35,4.70,Bebé - Higiene y cuidado,2025-06-07
Agua de colonia fresca infantil Deliplus con notas cítricas,Bote 600 ml,1.90,3.17,Bebé - Higiene y cuidado,2025-06-07
Agua perfumada bebé con notas florales Deliplus,Bote 100 ml,3.20,32.00,Bebé - Higiene y cuidado,2025-06-07
"Solución fisiológica salina 0,9 % Deliplus",Caja 30 ud.,3.23,No disponible,Bebé - Higiene y cuidado,2025-06-07
Gasas para bebé no tejidas Deliplus,Paquete 100 ud.,1.97,No disponible,Bebé - Higiene y cuidado,2025-06-07
Esponja anatómica para bebés Deliplus,Paquete 1 ud.,0.90,No disponible,Bebé - Higiene y cuidado,2025-06-07
Polvos de talco Deliplus,Bote 200 g,1.70,8.50,Bebé - Higiene y cuidado,2025-06-07
Bastoncillos algodón para bebés Deliplus,Caja 60 ud.,1.05,No disponible,Bebé - Higiene y cuidado,2025-06-07
Toallitas bebé frescas & perfumadas Deliplus,3 paquetes x 80 ud.,3.00,No disponible,Bebé - Toallitas y pañales,2025-06-07
